id,method,dataset,gold,pred,correct,prompt_toks,completion_toks,latency_sec
g24_001,fot,game24,24,3,0,,,
g24_002,fot,game24,24,24,1,,,
g24_003,fot,game24,24,24,1,,,
g24_004,fot,game24,24,24,1,,,
g24_005,fot,game24,24,24,1,,,
g24_006,fot,game24,24,24,1,,,
g24_001,fot,game24,24,10,0,2155.0,3072.0,
g24_002,fot,game24,24,4,0,1846.0,2659.0,
g24_003,fot,game24,24,24,1,1553.0,1678.0,
g24_004,fot,game24,24,24,1,1481.0,1401.0,
g24_005,fot,game24,24,24,1,2108.0,2562.0,
g24_006,fot,game24,24,24,1,1665.0,2094.0,
